"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2106","testPartialUpdateBooking","Booking API Test Suite","2025-10-26","failed","2025-10-26","RequestsAssertions.patchBooking","All Tests","RequestsAssertions.patchBooking","testPartialUpdateBooking"
"","1008","verifyInvalidCreationDateInteger","Booking API Test Suite","2025-10-26","failed","2025-10-26","RequestsAssertions.CreateBooking","All Tests","RequestsAssertions.CreateBooking","verifyInvalidCreationDateInteger"
"","1134","testGetCreatedBooking","Booking API Test Suite","2025-10-26","passed","2025-10-26","RequestsAssertions.GetBookingByID","All Tests","RequestsAssertions.GetBookingByID","testGetCreatedBooking"
"","894","verifyInvalidCreationFirstNameNotString","Booking API Test Suite","2025-10-26","passed","2025-10-26","RequestsAssertions.CreateBooking","All Tests","RequestsAssertions.CreateBooking","verifyInvalidCreationFirstNameNotString"
"","1079","testFilterBookingsWithNonExistentName","Booking API Test Suite","2025-10-26","failed","2025-10-26","RequestsAssertions.GetBookingIDs","All Tests","RequestsAssertions.GetBookingIDs","testFilterBookingsWithNonExistentName"
"","1362","testGetBookingIds","Booking API Test Suite","2025-10-26","passed","2025-10-26","RequestsAssertions.GetBookingIDs","All Tests","RequestsAssertions.GetBookingIDs","testGetBookingIds"
"","1039","testVerifyBookingIsDeleted","Booking API Test Suite","2025-10-26","passed","2025-10-26","RequestsAssertions.deleteBooking","All Tests","RequestsAssertions.deleteBooking","testVerifyBookingIsDeleted"
"","1044","testPingEndpoint","Booking API Test Suite","2025-10-26","failed","2025-10-26","RequestsAssertions.PingTest","All Tests","RequestsAssertions.PingTest","testPingEndpoint"
"","1034","testGetToken_WithWrongPassword","Booking API Test Suite","2025-10-26","passed","2025-10-26","RequestsAssertions.GetToken","All Tests","RequestsAssertions.GetToken","testGetToken_WithWrongPassword"
"","1122","testGetToken_WithWrongUsername","Booking API Test Suite","2025-10-26","passed","2025-10-26","RequestsAssertions.GetToken","All Tests","RequestsAssertions.GetToken","testGetToken_WithWrongUsername"
"","4117","testCreateBooking","Booking API Test Suite","2025-10-26","passed","2025-10-26","RequestsAssertions.CreateBooking","All Tests","RequestsAssertions.CreateBooking","testCreateBooking"
"","2045","testUpdateBooking","Booking API Test Suite","2025-10-26","passed","2025-10-26","RequestsAssertions.updateBooking","All Tests","RequestsAssertions.updateBooking","testUpdateBooking"
"","943","verifyInvalidCreationLastNameNotString","Booking API Test Suite","2025-10-26","failed","2025-10-26","RequestsAssertions.CreateBooking","All Tests","RequestsAssertions.CreateBooking","verifyInvalidCreationLastNameNotString"
"","1321","testGetBookingIds_WithoutAuth","Booking API Test Suite","2025-10-26","failed","2025-10-26","RequestsAssertions.GetBookingIDs","All Tests","RequestsAssertions.GetBookingIDs","testGetBookingIds_WithoutAuth"
"","1994","testDeleteBooking","Booking API Test Suite","2025-10-26","passed","2025-10-26","RequestsAssertions.deleteBooking","All Tests","RequestsAssertions.deleteBooking","testDeleteBooking"
"","808","verifyInvalidCreationTotalPriceBoolean","Booking API Test Suite","2025-10-26","failed","2025-10-26","RequestsAssertions.CreateBooking","All Tests","RequestsAssertions.CreateBooking","verifyInvalidCreationTotalPriceBoolean"
"","2221","testFilterBookingsByFirstname","Booking API Test Suite","2025-10-26","passed","2025-10-26","RequestsAssertions.GetBookingIDs","All Tests","RequestsAssertions.GetBookingIDs","testFilterBookingsByFirstname"
"","1201","verifyValidAuthentication","Booking API Test Suite","2025-10-26","passed","2025-10-26","RequestsAssertions.GetToken","All Tests","RequestsAssertions.GetToken","verifyValidAuthentication"
"","1013","testGetBookingWithNonExistentID","Booking API Test Suite","2025-10-26","passed","2025-10-26","RequestsAssertions.GetBookingByID","All Tests","RequestsAssertions.GetBookingByID","testGetBookingWithNonExistentID"
